borough,cuisine,name,rating,reduced_cuisine
Manhattan,Sandwiches,Cafe Yaya,4.8,Sandwiches
Manhattan,Indian,The Indian Tapas,4.8,Asian
Manhattan,Mediterranean,NAYA,4.8,Middle Eastern & Mediterranean
Manhattan,Middle Eastern,NAYA,4.8,Other
Manhattan,Pizza,Aileen’s Cafe & Pizzeria,4.8,European
Manhattan,Breakfast & Brunch,Aileen’s Cafe & Pizzeria,4.8,American
Manhattan,Coffee & Tea,Aileen’s Cafe & Pizzeria,4.8,Cafe & Drinks
Manhattan,Vegan,Ava’s LifeLine,4.8,Healthy
Manhattan,Bakeries,Ava’s LifeLine,4.8,Other
Manhattan,Burgers,Loco's Burger,4.8,American
Manhattan,Hot Dogs,Loco's Burger,4.8,American
Manhattan,Sushi Bars,Goal Omakase Sushi,4.8,Asian
Manhattan,Japanese,Goal Omakase Sushi,4.8,Asian
Manhattan,Sandwiches,Akara House,4.8,Sandwiches
Manhattan,African,Akara House,4.8,African
Manhattan,Vegetarian,Akara House,4.8,Healthy
Manhattan,Burgers,Cubby's,4.8,American
Manhattan,Ice Cream & Frozen Yogurt,Cubby's,4.8,Desserts & Sweets
Manhattan,Indian,Rudraks Fine Indian Cuisine,4.8,Asian
Manhattan,Middle Eastern,New York Best Halal Food,4.8,Other
Manhattan,Food Stands,New York Best Halal Food,4.8,Street Food
Manhattan,Halal,New York Best Halal Food,4.8,Middle Eastern & Mediterranean
Manhattan,Pizza,The Oven’s Slice ,4.8,European
Manhattan,Chicken Wings,The Oven’s Slice ,4.8,Fast Food
Manhattan,Vegan,The Oven’s Slice ,4.8,Healthy
Manhattan,Bangladeshi,Korai Kitchen,4.8,Asian
Manhattan,Halal,Korai Kitchen,4.8,Middle Eastern & Mediterranean
Manhattan,Food Trucks,M & S Halal Food,4.8,Street Food
Manhattan,Halal,M & S Halal Food,4.8,Middle Eastern & Mediterranean
Manhattan,Brazilian,Belo,4.8,Latin American
Manhattan,Comfort Food,Belo,4.8,American
Manhattan,Breakfast & Brunch,Belo,4.8,American
Manhattan,Grocery,Biser Shop Express,4.8,Other
Manhattan,Delis,Biser Shop Express,4.8,Sandwiches
Manhattan,Mexican,Sabor a Mexico,4.8,Latin American
Manhattan,Street Vendors,Halal Cart,4.8,Street Food
Manhattan,Halal,Halal Cart,4.8,Middle Eastern & Mediterranean
Manhattan,Coffee & Tea,Quick Stop,4.8,Cafe & Drinks
Manhattan,Breakfast & Brunch,Quick Stop,4.8,American
Manhattan,Street Vendors,Quick Stop,4.8,Street Food
Manhattan,Salad,Chez Le Frenchies,4.8,Healthy
Manhattan,Breakfast & Brunch,Chez Le Frenchies,4.8,American
Manhattan,Sandwiches,Chez Le Frenchies,4.8,Sandwiches
Manhattan,Italian,Panebianco Cucina Italiana,4.8,European
Manhattan,Mediterranean,Panebianco Cucina Italiana,4.8,Middle Eastern & Mediterranean
Manhattan,Asian Fusion,Panebianco Cucina Italiana,4.8,Asian
Manhattan,Sushi Bars,Kazumi Omakase,4.8,Asian
Manhattan,Japanese,Kazumi Omakase,4.8,Asian
Manhattan,Caterers,Esprit Events,4.8,Other
Manhattan,Kosher,Esprit Events,4.8,Other
Manhattan,Moroccan,Moroccan Bites by Siham,4.8,Middle Eastern & Mediterranean
Manhattan,Breakfast & Brunch,Moroccan Bites by Siham,4.8,American
Manhattan,Patisserie/Cake Shop,Moroccan Bites by Siham,4.8,Other
Manhattan,Gelato,Serendipity BK,4.8,Desserts & Sweets
Manhattan,Cafes,Serendipity BK,4.8,Cafe & Drinks
Manhattan,Coffee & Tea,Serendipity BK,4.8,Cafe & Drinks
Manhattan,Mexican,Arre Sinaloa,4.8,Latin American
Manhattan,Seafood Markets,Arre Sinaloa,4.8,Other
Manhattan,Sandwiches,ST&M Country Store,4.8,Sandwiches
Manhattan,Grocery,ST&M Country Store,4.8,Other
Manhattan,Mexican,Tacos Mi Mexico Food Truck,4.8,Latin American
Manhattan,Food Trucks,Tacos Mi Mexico Food Truck,4.8,Street Food
Manhattan,Breakfast & Brunch,Tacos Mi Mexico Food Truck,4.8,American
Manhattan,Sandwiches,Nomad,4.8,Sandwiches
Manhattan,Salad,Nomad,4.8,Healthy
Manhattan,Sushi Bars,Ito,4.8,Asian
Manhattan,Japanese,Ito,4.8,Asian
Manhattan,Indian,Diwali Indian Cuisine,4.8,Asian
Manhattan,Venues & Event Spaces,Diwali Indian Cuisine,4.8,Other
Manhattan,Burgers,Grilled!,4.8,American
Manhattan,Hot Dogs,Grilled!,4.8,American
Manhattan,Vegan,Grilled!,4.8,Healthy
Manhattan,Chicken Shop,Stack'd Burger,4.8,Fast Food
Manhattan,Chicken Wings,Stack'd Burger,4.8,Fast Food
Manhattan,Burgers,Stack'd Burger,4.8,American
